table_column,table_name
pbp_d_comb_max_enr_amt_yn,PBPD
pbp_d_comb_max_enr_amt,PBPD
pbp_d_out_pocket_amt_yn,PBPD
pbp_d_out_pocket_amt,PBPD
pbp_d_oon_max_enr_oopc_yn,PBPD
pbp_d_oon_max_enr_oopc_amt,PBPD
pbp_d_maxenr_oopc_type,PBPD
pbp_d_maxenr_oopc_amt,PBPD
pbp_d_ann_deduct_yn,PBPD
pbp_d_ann_deduct_amt_type,PBPD
pbp_a_special_need_plan_type,PBP
pbp_a_dsnp_zerodollar,PBP
pbp_a_snp_state_cvg_yn,PBP
pbp_d_ann_deduct_amt,PBPD
pbp_d_ann_deduct_comb_type,PBPD
pbp_d_comb_deduct_yn,PBPD
pbp_d_comb_deduct_partb_yn,PBPD
pbp_d_inn_deduct_yn,PBPD
pbp_d_inn_deduct_partb_yn,PBPD
pbp_d_comb_deduct_amt,PBPD
pbp_d_oon_deduct_yn,PBPD
pbp_d_oon_deduct_amt,PBPD
pbp_d_inn_deduct_amt,PBPD
pbp_d_oon_deduct_partb_yn,PBPD
pbp_a_contract_number,PBP
pbp_a_plan_identifier,PBP
pbp_a_segment_id,PBP
pbp_a_plan_name,PBP
pbp_a_plan_geog_name,PBP
pbp_a_org_marketing_name,PBP
pbp_a_org_name,PBP
pbp_a_plan_type,PBP
pbp_a_eghp_yn,PBP
pbp_a_org_type,PBP
mrx_benefit_type,PBPMRX
pbp_a_snp_pct,PBP
pbp_a_snp_cond,PBP
pbp_a_special_need_flag,PBP
mrx_alt_ded_amount,PBPMRX
mrx_alt_ded_charge,PBPMRX
pbp_b1a_bendesc_yn,PBPB1
pbp_b1a_cost_vary_tiers_yn,PBPB1
pbp_b1a_cost_vary_tier_num,PBPB1
pbp_b1a_cost_vary_low_tier,PBPB1
pbp_b1a_coins_yn,PBPB1
pbp_b1a_copay_yn,PBPB1
pbp_b1a_mc_coins_cstshr_yn_t1,PBPB1
pbp_b1a_coins_mcs_pct_t1,PBPB1
pbp_b1a_coins_mcs_int_num_t1,PBPB1
pbp_b1a_coins_mcs_pct_int1_t1,PBPB1
pbp_b1a_coins_mcs_bgnd_int1_t1,PBPB1
pbp_b1a_coins_mcs_endd_int1_t1,PBPB1
pbp_b1a_coins_mcs_pct_int2_t1,PBPB1
pbp_b1a_coins_mcs_bgnd_int2_t1,PBPB1
pbp_b1a_coins_mcs_endd_int2_t1,PBPB1
pbp_b1a_coins_mcs_pct_int3_t1,PBPB1
pbp_b1a_coins_mcs_bgnd_int3_t1,PBPB1
pbp_b1a_coins_mcs_endd_int3_t1,PBPB1
pbp_b1a_mc_copay_cstshr_yn_t1,PBPB1
pbp_b1a_copay_mcs_amt_t1,PBPB1
pbp_b1a_copay_mcs_int_num_t1,PBPB1
pbp_b1a_copay_mcs_amt_int1_t1,PBPB1
pbp_b1a_copay_mcs_bgnd_int1_t1,PBPB1
pbp_b1a_copay_mcs_endd_int1_t1,PBPB1
pbp_b1a_copay_mcs_amt_int2_t1,PBPB1
pbp_b1a_copay_mcs_bgnd_int2_t1,PBPB1
pbp_b1a_copay_mcs_endd_int2_t1,PBPB1
pbp_b1a_copay_mcs_amt_int3_t1,PBPB1
pbp_b1a_copay_mcs_bgnd_int3_t1,PBPB1
pbp_b1a_copay_mcs_endd_int3_t1,PBPB1
pbp_b1a_copay_ad_intrvl_num_t1,PBPB1
pbp_b1a_copay_ad_amt_int1_t1,PBPB1
pbp_b1a_copay_ad_bgnd_int1_t1,PBPB1
pbp_b1a_copay_ad_endd_int1_t1,PBPB1
pbp_b1a_mc_coins_cstshr_yn_t2,PBPB1
pbp_b1a_coins_mcs_pct_t2,PBPB1
pbp_b1a_coins_mcs_int_num_t2,PBPB1
pbp_b1a_coins_mcs_pct_int1_t2,PBPB1
pbp_b1a_coins_mcs_bgnd_int1_t2,PBPB1
pbp_b1a_coins_mcs_endd_int1_t2,PBPB1
pbp_b1a_coins_mcs_pct_int2_t2,PBPB1
pbp_b1a_coins_mcs_bgnd_int2_t2,PBPB1
pbp_b1a_coins_mcs_endd_int2_t2,PBPB1
pbp_b1a_coins_mcs_pct_int3_t2,PBPB1
pbp_b1a_coins_mcs_bgnd_int3_t2,PBPB1
pbp_b1a_coins_mcs_endd_int3_t2,PBPB1
pbp_b1a_mc_copay_cstshr_yn_t2,PBPB1
pbp_b1a_copay_mcs_amt_t2,PBPB1
pbp_b1a_copay_mcs_int_num_t2,PBPB1
pbp_b1a_copay_mcs_amt_int1_t2,PBPB1
pbp_b1a_copay_mcs_bgnd_int1_t2,PBPB1
pbp_b1a_copay_mcs_endd_int1_t2,PBPB1
pbp_b1a_copay_mcs_amt_int2_t2,PBPB1
pbp_b1a_copay_mcs_bgnd_int2_t2,PBPB1
pbp_b1a_copay_mcs_endd_int2_t2,PBPB1
pbp_b1a_copay_mcs_amt_int3_t2,PBPB1
pbp_b1a_copay_mcs_bgnd_int3_t2,PBPB1
pbp_b1a_copay_mcs_endd_int3_t2,PBPB1
pbp_b1a_copay_ad_intrvl_num_t2,PBPB1
pbp_b1a_copay_ad_amt_int1_t2,PBPB1
pbp_b1a_copay_ad_bgnd_int1_t2,PBPB1
pbp_b1a_copay_ad_endd_int1_t2,PBPB1
pbp_b1a_ad_cost_vary_tiers_yn,PBPB1
pbp_b1a_auth_yn,PBPB1
pbp_b1a_refer_yn,PBPB1
pbp_c_oon_coins_ihs_yn,PBPC
pbp_c_oon_coins_iha_mc_cost_yn,PBPC
pbp_c_oon_coins_iha_pct,PBPC
pbp_c_oon_coins_iha_intrvl_num,PBPC
pbp_c_oon_coins_iha_pct_i1,PBPC
pbp_c_oon_coins_iha_bgnd_i1,PBPC
pbp_c_oon_coins_iha_endd_i1,PBPC
pbp_c_oon_coins_iha_pct_i2,PBPC
pbp_c_oon_coins_iha_bgnd_i2,PBPC
pbp_c_oon_coins_iha_endd_i2,PBPC
pbp_c_oon_coins_iha_pct_i3,PBPC
pbp_c_oon_coins_iha_bgnd_i3,PBPC
pbp_c_oon_coins_iha_endd_i3,PBPC
pbp_c_oon_copay_ihs_yn,PBPC
pbp_c_oon_copay_iha_mc_cost_yn,PBPC
pbp_c_oon_copay_iha_ps_amt,PBPC
pbp_c_oon_copay_iha_intrvl_num,PBPC
pbp_c_oon_copay_iha_amt_i1,PBPC
